SOCcode1,SOCcode2,modOfMod
9249,9249,0.0
4132,9249,-0.02759213680394393
9249,4132,0.02759213680394393
4132,4132,0.0
7129,9249,-0.072002543669308
9249,7129,0.072002543669308
7129,4132,-0.044410406865364065
4132,7129,0.044410406865364065
7129,7129,0.0
5419,9249,-0.02225871853263289
9249,5419,0.02225871853263289
5419,4132,0.0053334182713110365
4132,5419,-0.0053334182713110365
5419,7129,0.0497438251366751
7129,5419,-0.0497438251366751
5419,5419,0.0
3416,9249,-0.09648893271200118
9249,3416,0.09648893271200118
3416,4132,-0.06889679590805725
4132,3416,0.06889679590805725
3416,7129,-0.02448638904269319
7129,3416,0.02448638904269319
3416,5419,-0.0742302141793683
5419,3416,0.0742302141793683
3416,3416,0.0
3417,9249,-0.060735918935993484
9249,3417,0.060735918935993484
3417,4132,-0.033143782132049555
4132,3417,0.033143782132049555
3417,7129,0.01126662473331451
7129,3417,-0.01126662473331451
3417,5419,-0.0384772004033606
5419,3417,0.0384772004033606
3417,3416,0.0357530137760077
3416,3417,-0.0357530137760077
3417,3417,0.0
3414,9249,-0.06751602015941059
9249,3414,0.06751602015941059
3414,4132,-0.03992388335546666
4132,3414,0.03992388335546666
3414,7129,0.004486523509897407
7129,3414,-0.004486523509897407
3414,5419,-0.0452573016267777
5419,3414,0.0452573016267777
3414,3416,0.028972912552590598
3416,3414,-0.028972912552590598
3414,3417,-0.006780101223417102
3417,3414,0.006780101223417102
3414,3414,0.0
3415,9249,-0.07592223056999
9249,3415,0.07592223056999
3415,4132,-0.048330093766046085
4132,3415,0.048330093766046085
3415,7129,-0.0039196869006820146
7129,3415,0.0039196869006820146
3415,5419,-0.05366351203735712
5419,3415,0.05366351203735712
3415,3416,0.020566702142011176
3416,3415,-0.020566702142011176
3415,3417,-0.015186311633996523
3417,3415,0.015186311633996523
3415,3414,-0.008406210410579422
3414,3415,0.008406210410579422
3415,3415,0.0
3412,9249,-0.0540403405517914
9249,3412,0.0540403405517914
3412,4132,-0.02644820374784748
4132,3412,0.02644820374784748
3412,7129,0.01796220311751659
7129,3412,-0.01796220311751659
3412,5419,-0.03178162201915852
5419,3412,0.03178162201915852
3412,3416,0.04244859216020978
3416,3412,-0.04244859216020978
3412,3417,0.0066955783842020805
3417,3412,-0.0066955783842020805
3412,3414,0.013475679607619181
3414,3412,-0.013475679607619181
3412,3415,0.021881890018198603
3415,3412,-0.021881890018198603
3412,3412,0.0
3413,9249,-0.003220397498313665
9249,3413,0.003220397498313665
3413,4132,0.02437173930563026
4132,3413,-0.02437173930563026
3413,7129,0.06878214617099433
7129,3413,-0.06878214617099433
3413,5419,0.019038321034319225
5419,3413,-0.019038321034319225
3413,3416,0.09326853521368753
3416,3413,-0.09326853521368753
3413,3417,0.05751552143767982
3417,3413,-0.05751552143767982
3413,3414,0.06429562266109692
3414,3413,-0.06429562266109692
3413,3415,0.07270183307167634
3415,3413,-0.07270183307167634
3413,3412,0.05081994305347774
3412,3413,-0.05081994305347774
3413,3413,0.0
7115,9249,-0.05364075078788181
9249,7115,0.05364075078788181
7115,4132,-0.026048613983937884
4132,7115,0.026048613983937884
7115,7129,0.018361792881426184
7129,7115,-0.018361792881426184
7115,5419,-0.03138203225524892
5419,7115,0.03138203225524892
7115,3416,0.04284818192411937
3416,7115,-0.04284818192411937
7115,3417,0.007095168148111674
3417,7115,-0.007095168148111674
7115,3414,0.013875269371528776
3414,7115,-0.013875269371528776
7115,3415,0.022281479782108198
3415,7115,-0.022281479782108198
7115,3412,0.00039958976390959357
3412,7115,-0.00039958976390959357
7115,3413,-0.05042035328956815
3413,7115,0.05042035328956815
7115,7115,0.0
3411,9249,-0.06754823487337686
9249,3411,0.06754823487337686
3411,4132,-0.03995609806943293
4132,3411,0.03995609806943293
3411,7129,0.004454308795931137
7129,3411,-0.004454308795931137
3411,5419,-0.04528951634074397
5419,3411,0.04528951634074397
3411,3416,0.028940697838624328
3416,3411,-0.028940697838624328
3411,3417,-0.006812315937383372
3417,3411,0.006812315937383372
3411,3414,-3.221471396627011e-05
3414,3411,3.221471396627011e-05
3411,3415,0.008373995696613151
3415,3411,-0.008373995696613151
3411,3412,-0.013507894321585452
3412,3411,0.013507894321585452
3411,3413,-0.06432783737506319
3413,3411,0.06432783737506319
3411,7115,-0.013907484085495046
7115,3411,0.013907484085495046
3411,3411,0.0
6142,9249,-0.13417063066007975
9249,6142,0.13417063066007975
6142,4132,-0.10657849385613581
4132,6142,0.10657849385613581
6142,7129,-0.062168086990771754
7129,6142,0.062168086990771754
6142,5419,-0.11191191212744685
5419,6142,0.11191191212744685
6142,3416,-0.03768169794807856
3416,6142,0.03768169794807856
6142,3417,-0.07343471172408626
3417,6142,0.07343471172408626
6142,3414,-0.06665461050066916
3414,6142,0.06665461050066916
6142,3415,-0.05824840009008973
3415,6142,0.05824840009008973
6142,3412,-0.08013029010828834
3412,6142,0.08013029010828834
6142,3413,-0.13095023316176607
3413,6142,0.13095023316176607
6142,7115,-0.08052987987219794
7115,6142,0.08052987987219794
6142,3411,-0.06662239578670288
3411,6142,0.06662239578670288
6142,6142,0.0
6132,9249,-0.0735886527610187
9249,6132,0.0735886527610187
6132,4132,-0.045996515957074775
4132,6132,0.045996515957074775
6132,7129,-0.0015861090917107096
7129,6132,0.0015861090917107096
6132,5419,-0.05132993422838581
5419,6132,0.05132993422838581
6132,3416,0.02290027995098248
3416,6132,-0.02290027995098248
6132,3417,-0.012852733825025218
3417,6132,0.012852733825025218
6132,3414,-0.006072632601608116
3414,6132,0.006072632601608116
6132,3415,0.002333577808971305
3415,6132,-0.002333577808971305
6132,3412,-0.0195483122092273
3412,6132,0.0195483122092273
6132,3413,-0.07036825526270504
3413,6132,0.07036825526270504
6132,7115,-0.01994790197313689
7115,6132,0.01994790197313689
6132,3411,-0.0060404178876418465
3411,6132,0.0060404178876418465
6132,6142,0.06058197789906104
6142,6132,-0.06058197789906104
6132,6132,0.0
7113,9249,0.036383219474149825
9249,7113,-0.036383219474149825
7113,4132,0.06397535627809375
4132,7113,-0.06397535627809375
7113,7129,0.10838576314345781
7129,7113,-0.10838576314345781
7113,5419,0.05864193800678271
5419,7113,-0.05864193800678271
7113,3416,0.132872152186151
3416,7113,-0.132872152186151
7113,3417,0.0971191384101433
3417,7113,-0.0971191384101433
7113,3414,0.1038992396335604
3414,7113,-0.1038992396335604
7113,3415,0.11230545004413983
3415,7113,-0.11230545004413983
7113,3412,0.09042356002594122
3412,7113,-0.09042356002594122
7113,3413,0.039603616972463486
3413,7113,-0.039603616972463486
7113,7115,0.09002397026203163
7115,7113,-0.09002397026203163
7113,3411,0.10393145434752668
3411,7113,-0.10393145434752668
7113,6142,0.17055385013422958
6142,7113,-0.17055385013422958
7113,6132,0.10997187223516852
6132,7113,-0.10997187223516852
7113,7113,0.0
3550,9249,-0.12261169739696526
9249,3550,0.12261169739696526
3550,4132,-0.09501956059302133
4132,3550,0.09501956059302133
3550,7129,-0.050609153727657265
7129,3550,0.050609153727657265
3550,5419,-0.10035297886433237
5419,3550,0.10035297886433237
3550,3416,-0.026122764684964075
3416,3550,0.026122764684964075
3550,3417,-0.061875778460971774
3417,3550,0.061875778460971774
3550,3414,-0.05509567723755467
3414,3550,0.05509567723755467
3550,3415,-0.04668946682697525
3415,3550,0.04668946682697525
3550,3412,-0.06857135684517385
3412,3550,0.06857135684517385
3550,3413,-0.11939129989865159
3413,3550,0.11939129989865159
3550,7115,-0.06897094660908344
7115,3550,0.06897094660908344
3550,3411,-0.0550634625235884
3411,3550,0.0550634625235884
3550,6142,0.011558933263114485
6142,3550,-0.011558933263114485
3550,6132,-0.049023044635946554
6132,3550,0.049023044635946554
3550,7113,-0.15899491687111508
7113,3550,0.15899491687111508
3550,3550,0.0
3122,9249,-0.07178201733142353
9249,3122,0.07178201733142353
